2014-04-22T02:40:29.942Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:29 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=38744064, heapTotal=30095360, heapUsed=14741336, loadavg=[0.708984375, 0.4111328125, 0.30224609375], uptime=45050.573531851, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:40:29.952Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:29 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39014400, heapTotal=30095360, heapUsed=17933168, loadavg=[0.708984375, 0.4111328125, 0.30224609375], uptime=45050.586801527, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:40:30.062Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:30 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39014400, heapTotal=30095360, heapUsed=12803880, loadavg=[0.708984375, 0.4111328125, 0.30224609375], uptime=45050.697978337, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:40:30.108Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:30 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39284736, heapTotal=30095360, heapUsed=15525688, loadavg=[0.708984375, 0.4111328125, 0.30224609375], uptime=45050.741689878, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:40:59.108Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:59 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39284736, heapTotal=30095360, heapUsed=18514832, loadavg=[0.84716796875, 0.46875, 0.32568359375], uptime=45079.744228299, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:40:59.118Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:59 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39555072, heapTotal=31127296, heapUsed=13387128, loadavg=[0.84716796875, 0.46875, 0.32568359375], uptime=45079.754105175, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:40:59.276Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:59 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39555072, heapTotal=31127296, heapUsed=16100264, loadavg=[0.84716796875, 0.46875, 0.32568359375], uptime=45079.909614188, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:40:59.314Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:40:59 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39555072, heapTotal=31127296, heapUsed=18832152, loadavg=[0.84716796875, 0.46875, 0.32568359375], uptime=45079.947180715, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:41:28.975Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:41:28 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39825408, heapTotal=31127296, heapUsed=13696424, loadavg=[0.84033203125, 0.5029296875, 0.3408203125], uptime=45109.608990721, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:41:29.135Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:41:29 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39825408, heapTotal=31127296, heapUsed=16412128, loadavg=[0.84033203125, 0.5029296875, 0.3408203125], uptime=45109.771029429, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
2014-04-22T02:41:29.172Z - error: uncaughtException: Cannot read property 'start' of undefined date=Tue Apr 22 2014 04:41:29 GMT+0200 (CEST), pid=18889, uid=1000, gid=1000, cwd=/home/sinitreo/Developement/kag/kscript2, execPath=/home/sinitreo/Developement/kag/kscript2/node/bin/node, version=v0.10.26, argv=[/home/sinitreo/Developement/kag/kscript2/node/bin/node, /home/sinitreo/Developement/kag/kscript2/app.js], rss=39825408, heapTotal=31127296, heapUsed=19119736, loadavg=[0.84033203125, 0.5029296875, 0.3408203125], uptime=45109.807736305, trace=[column=53, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.checkComposite, line=71, method=checkComposite, native=false, column=15, file=/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js, function=Parser.parseData, line=40, method=parseData, native=false, column=12, file=/home/sinitreo/Developement/kag/kscript2/app.js, function=, line=48, method=null, native=false, column=17, file=events.js, function=RconConnection.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=10, file=/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js, function=Socket.onData, line=52, method=onData, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=95, method=EventEmitter.emit, native=false, column=14, file=_stream_readable.js, function=, line=746, method=null, native=false, column=17, file=events.js, function=Socket.EventEmitter.emit, line=92, method=EventEmitter.emit, native=false, column=10, file=_stream_readable.js, function=emitReadable_, line=408, method=null, native=false, column=5, file=_stream_readable.js, function=emitReadable, line=404, method=null, native=false], stack=[TypeError: Cannot read property 'start' of undefined,     at Parser.checkComposite (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:71:53),     at Parser.parseData (/home/sinitreo/Developement/kag/kscript2/lib/services/parser.js:40:15),     at RconConnection.<anonymous> (/home/sinitreo/Developement/kag/kscript2/app.js:48:12),     at RconConnection.EventEmitter.emit (events.js:95:17),     at Socket.onData (/home/sinitreo/Developement/kag/kscript2/lib/services/rcon.js:52:10),     at Socket.EventEmitter.emit (events.js:95:17),     at Socket.<anonymous> (_stream_readable.js:746:14),     at Socket.EventEmitter.emit (events.js:92:17),     at emitReadable_ (_stream_readable.js:408:10),     at emitReadable (_stream_readable.js:404:5)]
